iter	Passed	Remaining
407	4529	6572
408	4539	6558
409	4553	6552
410	4567	6545
411	4580	6537
412	4596	6532
413	4607	6521
414	4621	6514
415	4633	6505
416	4645	6495
417	4658	6486
418	4671	6478
419	4681	6464
420	4690	6450
421	4700	6438
422	4711	6426
423	4720	6412
424	4728	6396
425	4737	6382
426	4747	6371
427	4753	6353
428	4759	6335
429	4767	6319
430	4774	6303
431	4785	6292
432	4796	6280
433	4809	6272
434	4819	6259
435	4828	6246
436	4841	6236
437	4855	6230
438	4863	6215
439	4874	6203
440	4883	6189
441	4895	6180
442	4906	6168
443	4915	6155
444	4925	6143
445	4937	6133
446	4949	6122
447	4958	6109
448	4973	6103
449	4984	6092
450	4995	6081
451	5003	6065
452	5014	6055
453	5026	6044
454	5037	6033
455	5049	6023
456	5060	6012
457	5071	6001
458	5078	5985
459	5090	5975
460	5101	5964
461	5109	5949
462	5121	5939
463	5130	5926
464	5138	5912
465	5146	5897
466	5156	5885
467	5167	5874
468	5179	5864
469	5189	5852
470	5198	5839
471	5212	5831
472	5224	5820
473	5232	5806
474	5240	5791
475	5251	5781
476	5262	5770
477	5273	5758
478	5287	5751
479	5310	5753
480	5319	5739
481	5334	5732
482	5347	5723
483	5359	5713
484	5370	5702
485	5384	5694
486	5391	5679
487	5405	5671
488	5414	5657
489	5424	5646
490	5430	5629
491	5443	5620
492	5456	5611
493	5464	5597
494	5476	5586
495	5487	5576
496	5499	5566
497	5511	5555
498	5522	5544
499	5531	5531
500	5537	5515
501	5546	5502
502	5556	5489
503	5565	5477
504	5576	5465
505	5589	5457
506	5596	5441
507	5609	5432
508	5621	5422
509	5632	5412
510	5645	5402
511	5661	5396
512	5673	5385
513	5685	5375
514	5699	5367
515	5707	5353
516	5718	5342
517	5729	5331
518	5737	5317
519	5748	5306
520	5761	5297
521	5770	5284
522	5782	5273
523	5790	5260
524	5801	5249
525	5811	5236
526	5821	5225
527	5828	5210
528	5839	5199
529	5847	5185
530	5863	5178
531	5875	5168
532	5882	5154
533	5895	5144
534	5909	5135
535	5918	5123
536	5933	5115
537	5945	5105
538	5956	5094
539	5971	5086
540	5982	5076
541	5991	5063
542	6002	5052
543	6013	5041
544	6024	5029
545	6038	5021
546	6047	5008
547	6065	5002
548	6077	4992
549	6089	4982
550	6100	4971
551	6108	4957
552	6121	4948
553	6131	4936
554	6140	4923
555	6150	4911
556	6161	4900
557	6170	4887
558	6184	4879
559	6195	4868
560	6206	4857
561	6216	4844
562	6225	4832
563	6234	4819
564	6245	4808
565	6258	4799
566	6269	4787
567	6287	4781
568	6296	4769
569	6310	4760
570	6318	4747
571	6330	4736
572	6342	4726
573	6348	4711
574	6363	4703
575	6374	4692
576	6383	4679
577	6401	4673
578	6410	4661
579	6419	4648
580	6434	4640
581	6445	4629
582	6462	4622
583	6473	4611
584	6483	4599
585	6493	4587
586	6501	4574
587	6512	4563
588	6525	4553
589	6534	4541
590	6541	4526
591	6552	4516
592	6563	4505
593	6570	4490
594	6582	4480
595	6588	4465
596	6594	4451
597	6602	4438
598	6614	4427
599	6625	4416
600	6631	4402
601	6643	4392
602	6655	4381
603	6664	4369
604	6672	4356
605	6678	4342
606	6693	4333
607	6710	4326
608	6724	4317
609	6735	4306
610	6750	4297
611	6756	4283
612	6774	4276
613	6786	4266
614	6800	4257
615	6811	4246
616	6823	4235
617	6834	4224
618	6845	4213
619	6855	4202
620	6862	4188
621	6868	4173
622	6879	4163
623	6888	4150
624	6898	4139
625	6912	4129
626	6923	4118
627	6932	4106
628	6946	4097
629	6957	4085
630	6966	4073
631	6978	4063
632	6990	4053
633	7001	4042
634	7015	4032
635	7030	4023
636	7042	4013
637	7056	4004
638	7062	3990
639	7069	3976
640	7080	3965
641	7094	3956
642	7108	3946
643	7127	3940
644	7134	3926
645	7146	3916
646	7158	3905
647	7173	3896
648	7184	3885
649	7191	3872
650	7199	3859
651	7207	3846
652	7219	3836
653	7231	3825
654	7240	3813
655	7255	3804
656	7267	3794
657	7278	3782
658	7291	3773
659	7297	3759
660	7312	3750
661	7319	3737
662	7325	3723
663	7331	3709
664	7341	3698
665	7354	3688
666	7366	3677
667	7375	3665
668	7384	3653
669	7394	3641
670	7406	3631
671	7412	3618
672	7424	3607
673	7435	3596
674	7446	3585
675	7452	3572
676	7466	3562
677	7474	3549
678	7483	3538
679	7498	3528
680	7507	3516
681	7518	3505
682	7534	3496
683	7545	3485
684	7564	3478
685	7578	3469
686	7590	3458
687	7600	3446
688	7611	3435
689	7622	3424
690	7633	3413
691	7642	3401
692	7649	3388
693	7658	3376
694	7664	3363
695	7680	3354
696	7692	3343
697	7704	3333
698	7715	3322
699	7726	3311
700	7744	3303
701	7753	3291
702	7759	3278
703	7774	3268
704	7786	3258
705	7792	3245
706	7803	3234
707	7814	3223
708	7823	3210
709	7831	3198
710	7844	3188
711	7850	3175
712	7864	3165
713	7876	3155
714	7885	3143
715	7894	3131
716	7905	3120
717	7920	3111
718	7930	3099
719	7942	3088
720	7954	3078
721	7965	3067
722	7980	3057
723	7994	3047
724	8006	3036
725	8015	3025
726	8027	3014
727	8033	3001
728	8044	2990
729	8051	2977
730	8064	2967
731	8077	2957
732	8090	2947
733	8097	2934
734	8109	2923
735	8120	2912
736	8130	2901
737	8142	2890
738	8149	2878
739	8155	2865
740	8164	2853
741	8174	2842
742	8185	2831
743	8194	2819
744	8212	2810
745	8226	2800
746	8237	2789
747	8249	2779
748	8258	2767
749	8269	2756
750	8276	2743
751	8293	2734
752	8302	2723
753	8315	2712
754	8326	2701
755	8338	2691
756	8348	2680
757	8367	2671
758	8379	2660
759	8392	2650
760	8400	2638
761	8407	2626
762	8417	2614
763	8426	2602
764	8440	2592
765	8453	2582
766	8466	2572
767	8477	2560
768	8483	2548
769	8492	2536
770	8501	2525
771	8515	2514
772	8529	2504
773	8542	2494
774	8558	2484
775	8575	2475
776	8586	2464
777	8597	2453
778	8610	2442
779	8620	2431
780	8634	2421
781	8647	2410
782	8654	2398
783	8660	2385
784	8675	2375
785	8689	2365
786	8703	2355
787	8717	2345
788	8729	2334
789	8736	2322
790	8745	2310
791	8756	2299
792	8768	2288
793	8783	2278
794	8797	2268
795	8806	2257
796	8817	2245
797	8831	2235
798	8841	2224
799	8856	2214
800	8870	2203
801	8885	2193
802	8896	2182
803	8908	2171
804	8919	2160
805	8926	2148
806	8941	2138
807	8947	2126
808	8959	2115
809	8968	2103
810	8983	2093
811	8995	2082
812	9006	2071
813	9017	2060
814	9025	2048
815	9034	2037
816	9045	2026
817	9065	2017
818	9078	2006
819	9091	1995
820	9106	1985
821	9116	1974
822	9124	1962
823	9135	1951
824	9149	1940
825	9163	1930
826	9173	1919
827	9187	1908
828	9199	1897
829	9211	1886
830	9222	1875
831	9230	1863
832	9245	1853
833	9257	1842
834	9271	1832
835	9285	1821
836	9300	1811
837	9315	1800
838	9321	1788
839	9331	1777
840	9345	1766
841	9354	1755
842	9361	1743
843	9376	1733
844	9388	1722
845	9394	1710
846	9401	1698
847	9406	1686
848	9418	1675
849	9425	1663
850	9435	1651
851	9447	1641
852	9459	1630
853	9473	1619
854	9493	1609
855	9505	1599
856	9516	1587
857	9527	1576
858	9537	1565
859	9551	1554
860	9566	1544
861	9584	1534
862	9593	1522
863	9607	1512
864	9616	1500
865	9631	1490
866	9642	1479
867	9652	1467
868	9669	1457
869	9681	1446
870	9693	1435
871	9705	1424
872	9718	1413
873	9727	1402
874	9736	1390
875	9747	1379
876	9754	1368
877	9765	1356
878	9779	1346
879	9794	1335
880	9803	1324
881	9815	1313
882	9830	1302
883	9842	1291
884	9854	1280
885	9865	1269
886	9876	1258
887	9887	1247
888	9898	1235
889	9913	1225
890	9924	1214
891	9937	1203
892	9949	1192
893	9959	1180
894	9968	1169
895	9979	1158
896	9990	1147
897	10002	1136
898	10014	1125
899	10025	1113
900	10039	1103
901	10049	1091
902	10064	1081
903	10075	1069
904	10089	1059
905	10097	1047
906	10106	1036
907	10115	1024
908	10127	1013
909	10136	1002
910	10151	991
911	10162	980
912	10179	969
913	10193	959
914	10205	948
915	10216	936
916	10228	925
917	10237	914
918	10243	902
919	10256	891
920	10267	880
921	10277	869
922	10284	857
923	10299	847
924	10310	835
925	10322	824
926	10336	813
927	10347	802
928	10358	791
929	10369	780
930	10377	769
931	10388	757
932	10400	746
933	10410	735
934	10426	724
935	10438	713
936	10449	702
937	10456	691
938	10467	680
939	10478	668
940	10492	657
941	10499	646
942	10510	635
943	10519	624
944	10532	612
945	10546	602
946	10561	591
947	10572	579
948	10579	568
949	10589	557
950	10600	546
951	10611	535
952	10624	523
953	10638	512
954	10650	501
955	10665	490
956	10682	479
957	10694	468
958	10709	457
959	10722	446
960	10737	435
961	10747	424
962	10760	413
963	10770	402
964	10782	391
965	10791	379
966	10798	368
967	10807	357
968	10818	346
969	10832	335
970	10840	323
971	10846	312
972	10861	301
973	10873	290
974	10879	278
975	10897	267
976	10907	256
977	10919	245
978	10931	234
979	10942	223
980	10957	212
981	10966	201
982	10975	189
983	10982	178
984	10991	167
985	11002	156
986	11020	145
987	11029	133
988	11035	122
989	11050	111
990	11064	100
991	11078	89
992	11090	78
993	11099	66
994	11109	55
995	11122	44
996	11136	33
997	11144	22
998	11158	11
999	11173	0
