temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,weather_main
272.325,272.325,272.325,995,86,1,276,clear
275.545,275.545,275.545,995,90,1,284,clear
275.545,275.545,275.545,995,90,1,284,clear
275.545,275.545,275.545,995,90,1,284,clear
285.676,285.676,285.676,995,68,1,276,clear
285.676,285.676,285.676,995,68,1,276,clear
286.4,286.4,286.4,994,66,1,206,clear
287.124,287.124,287.124,994,64,0,136,clear
287.124,287.124,287.124,994,64,0,136,clear
283.237,283.237,283.237,995,79,0,110,clear
279.35,279.35,279.35,995,94,1,85,clear
279.973,279.973,279.973,995,96,1,87,clouds
278.3905,278.3905,278.3905,996,95,1,78,clouds
276.808,276.808,276.808,996,94,1,70,clouds
276.808,276.808,276.808,1011,96,1,70,clouds
278.1633438,278.1633438,278.1633438,997,95,1,254,clouds
278.841,278.841,278.841,997,96,1,347,clouds
278.841,278.841,278.841,997,96,1,347,clouds
278.841,278.841,278.841,997,96,1,347,clouds
279.626,279.626,279.626,998,99,1,314,rain
279.626,279.626,279.626,998,99,1,314,rain
279.626,279.626,279.626,998,99,1,314,rain
278.987,278.987,278.987,998,96,2,329,clouds
278.987,278.987,278.987,998,96,2,329,clouds
278.987,278.987,278.987,998,96,2,329,clouds
278.0316875,278.0316875,278.0316875,1029,90,1,344,rain
278.7733438,278.7733438,278.7733438,1030,86,2,342,rain
281.3868125,281.3868125,281.3868125,1011,83,1,296,rain
281.8165,281.8165,281.8165,1015,79,1,302,rain
284.118,284.118,284.118,1000,77,1,264,clear
284.3325,284.3325,284.3325,1007,75,1,234,rain
284.1133438,284.1133438,284.1133438,1030,72,1,250,rain
284.5446875,284.5446875,284.5446875,1030,72,1,199,rain
281.38,281.38,281.38,1031,85,1,204,rain
283.01,283.01,283.01,1030,80,1,133,rain
281.044,281.044,281.044,1030,88,1,119,rain
280.3815,280.3815,280.3815,1031,87,1,138,clouds
278.85,278.85,278.85,1032,93,1,136,clouds
278.25,278.25,278.25,1032,94,1,136,clouds
277.85,277.85,277.85,1033,94,1,220,clouds
277.45,277.45,277.45,1033,95,2,305,clouds
279.85,279.85,279.85,1033,94,2,305,clouds
278.95,278.95,278.95,1033,94,1,303,clouds
278.05,278.05,278.05,1033,95,1,302,clouds
277.25,277.25,277.25,1034,95,1,302,clouds
276.75,276.75,276.75,1034,95,1,302,clouds
276.45,276.45,276.45,1034,96,1,302,clouds
276.05,276.05,276.05,1034,95,1,286,clear
275.55,275.55,275.55,1035,95,1,286,clear
275.15,275.15,275.15,1036,95,1,286,clear
278.35,278.35,278.35,1037,95,2,296,clear
282.05,282.05,282.05,1037,82,2,296,clear
284.25,284.25,284.25,1037,68,2,296,clear
285.55,285.55,285.55,1037,65,1,158,clear
286.85,286.85,286.85,1036,54,1,252,clear
287.75,287.75,287.75,1036,52,1,222,clear
289.05,289.05,289.05,1037,46,3,145,clear
286.675,286.675,286.675,1037,55,2,155,clear
283.982,283.982,283.982,1037,69,1,213,clear
281.766,281.766,281.766,1038,76,1,199,clear
279.55,279.55,279.55,1038,84,1,186,clear
278.85,278.85,278.85,1038,84,6,310,clear
281.05,281.05,281.05,1039,72,3,359,clear
280.25,280.25,280.25,1040,79,6,223,clear
278.85,278.85,278.85,1040,80,1,27,clear
277.75,277.75,277.75,1040,82,1,294,clear
276.95,276.95,276.95,1040,83,1,294,clear
277.45,277.45,277.45,1040,77,1,310,clear
278.95,278.95,278.95,1041,70,1,310,clear
277.05,277.05,277.05,1041,76,1,310,clear
277,277,277,1041,76,1,310,clear
276.95,276.95,276.95,1041,77,1,311,clear
276.6,276.6,276.6,1041,77,1,311,clear
276.25,276.25,276.25,1042,78,1,311,clear
276.545,276.545,276.545,1042,77,1,305,clear
284.85,284.85,284.85,1042,53,2,303,clear
282.295,282.295,282.295,1041,60,2,265,clear
287.75,287.75,287.75,1041,45,3,231,clear
289.35,289.35,289.35,1040,41,4,242,clear
290.95,290.95,290.95,1039,37,6,254,clear
289.956,289.956,289.956,1039,43,4,247,clear
286.8204063,286.8204063,286.8204063,1040,55,4,248,clear
286.1833125,286.1833125,286.1833125,1040,61,1,240,clear
283.4046563,283.4046563,283.4046563,1040,72,1,240,clear
285.278,285.278,285.278,1040,56,1,250,clear
284.05,284.05,284.05,1040,59,1,253,clear
280.163,280.163,280.163,1040,70,1,253,clear
280.2604063,280.2604063,280.2604063,1039,70,1,257,clear
275.7093125,275.7093125,275.7093125,1039,83,1,257,clear
275.1426563,275.1426563,275.1426563,1039,85,1,260,clear
280.5315,280.5315,280.5315,1038,63,1,253,clear
281.95,281.95,281.95,1038,57,1,254,clear
278.147,278.147,278.147,1037,72,1,262,clear
284.15,284.15,284.15,1036,45,8,294,clear
279.797,279.797,279.797,1035,64,3,271,clear
285.25,285.25,285.25,1034,41,6,272,clear
285.75,285.75,285.75,1034,37,4,287,clear
286.25,286.25,286.25,1034,34,3,303,clear
282.5835,282.5835,282.5835,1034,49,2,298,clear
285.75,285.75,285.75,1034,43,1,298,clear
284.8835,284.8835,284.8835,1034,47,5,277,clear
290.85,290.85,290.85,1033,30,8,261,clear
292.4,292.4,292.4,1031,28,12,251,clear
293.95,293.95,293.95,1030,26,17,241,clear
292.681,292.681,292.681,1030,38,9,244,clear
294.85,294.85,294.85,1028,25,3,285,clear
291.231,291.231,291.231,1029,43,3,278,clear
291.05,291.05,291.05,1028,36,6,309,clear
290.9,290.9,290.9,1028,35,7,298,clear
290.75,290.75,290.75,1028,34,8,287,clear
290.15,290.15,290.15,1027,32,5,306,clear
289.55,289.55,289.55,1027,31,3,326,clear
289,289,289,1027,31,8,311,clear
288.45,288.45,288.45,1026,32,12,297,clear
288.05,288.05,288.05,1026,31,17,265,clear
287.65,287.65,287.65,1025,30,22,233,clear
280.946,280.946,280.946,1026,59,11,242,clear
288.15,288.15,288.15,1025,24,4,255,clear
279.996,279.996,279.996,1026,58,5,270,clear
285.75,285.75,285.75,1025,28,11,288,clear
284.95,284.95,284.95,1026,31,9,294,clear
284.15,284.15,284.15,1026,34,8,301,clear
285.55,285.55,285.55,1028,38,2,288,clear
286.65,286.65,286.65,1028,39,2,288,clear
288.25,288.25,288.25,1028,37,4,252,clear
289.35,289.35,289.35,1027,36,8,231,clouds
291.05,291.05,291.05,1026,33,8,220,clear
293.05,293.05,293.05,1025,33,3,343,clear
293.95,293.95,293.95,1026,32,3,6,clear
293.25,293.25,293.25,1027,35,3,343,clear
290.35,290.35,290.35,1028,45,8,62,clouds
285.741,285.741,285.741,1030,59,4,202,clear
286.0833438,286.0833438,286.0833438,1030,59,3,24,clear
283.95,283.95,283.95,1031,66,1,5,clear
281.55,281.55,281.55,1032,73,1,51,clear
280.55,280.55,280.55,1033,76,1,51,clear
279.95,279.95,279.95,1033,79,1,348,clear
279.25,279.25,279.25,1034,84,1,348,clear
278.95,278.95,278.95,1034,86,1,348,clear
278.95,278.95,278.95,1034,86,1,349,clouds
279.45,279.45,279.45,1034,88,1,349,clouds
279.75,279.75,279.75,1033,91,1,349,clouds
279.35,279.35,279.35,1033,93,2,342,clouds
279.25,279.25,279.25,1034,94,2,342,clouds
278.25,278.25,278.25,1034,94,2,342,clouds
281.95,281.95,281.95,1034,88,3,332,clouds
283.35,283.35,283.35,1035,84,3,353,clouds
284.55,284.55,284.55,1035,82,1,45,clouds
286.15,286.15,286.15,1034,76,4,20,clouds
286.95,286.95,286.95,1033,70,1,142,clouds
288.05,288.05,288.05,1032,65,4,121,clouds
288.65,288.65,288.65,1031,62,4,120,clear
289.65,289.65,289.65,1030,60,4,197,clear
287.75,287.75,287.75,1030,72,1,135,clear
285.85,285.85,285.85,1030,80,3,98,clouds
284.55,284.55,284.55,1031,85,1,147,clouds
282.85,282.85,282.85,1031,88,1,343,clouds
281.85,281.85,281.85,1031,91,1,148,clouds
282.05,282.05,282.05,1030,92,1,148,clouds
282.05,282.05,282.05,1030,90,1,148,clouds
282.05,282.05,282.05,1030,88,1,148,clouds
281.05,281.05,281.05,1029,90,1,201,clouds
279.75,279.75,279.75,1028,87,1,201,clouds
279.35,279.35,279.35,1028,79,1,240,clouds
278.65,278.65,278.65,1028,81,1,240,clouds
278.65,278.65,278.65,1027,79,1,240,clouds
278.75,278.75,278.75,1026,77,1,255,clouds
278.95,278.95,278.95,1026,76,1,255,clouds
278.95,278.95,278.95,1026,75,1,255,clouds
277.15,277.15,277.15,1027,82,2,260,clouds
279.35,279.35,279.35,1027,76,2,260,clouds
283.95,283.95,283.95,1027,62,6,236,clouds
287.55,287.55,287.55,1026,53,11,238,clear
289.45,289.45,289.45,1025,48,6,287,clear
290.95,290.95,290.95,1024,42,9,207,clear
291.75,291.75,291.75,1023,36,25,251,clear
292.35,292.35,292.35,1022,36,9,292,clear
292.35,292.35,292.35,1022,36,4,292,clear
290.35,290.35,290.35,1022,41,1,268,clear
289.85,289.85,289.85,1023,40,1,295,clear
289.05,289.05,289.05,1023,40,6,259,clear
287.35,287.35,287.35,1024,45,3,241,clear
283.95,283.95,283.95,1024,74,3,283,clear
285.75,285.75,285.75,1024,56,3,283,clear
286.85,286.85,286.85,1024,50,8,262,clear
285.45,285.45,285.45,1024,53,4,328,clear
285.55,285.55,285.55,1024,52,8,311,clear
284.35,284.35,284.35,1024,56,11,317,clear
284.85,284.85,284.85,1024,56,3,309,clear
285.35,285.35,285.35,1024,55,6,20,clear
285.45,285.45,285.45,1024,55,4,326,clouds
284.15,284.15,284.15,1024,59,1,288,clouds
283.85,283.85,283.85,1024,61,11,255,clouds
284.25,284.25,284.25,1025,58,4,285,clear
284.85,284.85,284.85,1025,57,4,232,clear
285.45,285.45,285.45,1026,58,11,252,clear
286.95,286.95,286.95,1026,56,12,245,clear
289.05,289.05,289.05,1025,47,11,230,clear
290.75,290.75,290.75,1024,38,12,253,clear
291.95,291.95,291.95,1023,37,1,257,clear
291.35,291.35,291.35,1023,41,4,236,clear
291.65,291.65,291.65,1023,40,1,335,clear
290.45,290.45,290.45,1023,39,1,213,clear
288.25,288.25,288.25,1023,45,2,246,clear
288.35,288.35,288.35,1024,41,1,299,clear
284.15,284.15,284.15,1024,74,1,344,clear
281.65,281.65,281.65,1024,75,0,257,clear
280.55,280.55,280.55,1024,84,0,257,clear
279.75,279.75,279.75,1024,81,1,302,clear
279.05,279.05,279.05,1024,78,1,302,clear
279.55,279.55,279.55,1023,74,1,302,clear
279.35,279.35,279.35,1022,74,1,275,clear
280.95,280.95,280.95,1022,68,1,275,clear
279.85,279.85,279.85,1021,71,1,275,clear
280.45,280.45,280.45,1020,72,1,256,clear
279.85,279.85,279.85,1020,73,1,256,clear
280.25,280.25,280.25,1020,73,1,256,clear
281.95,281.95,281.95,1020,65,1,255,clear
285.55,285.55,285.55,1020,54,1,255,clear
287.05,287.05,287.05,1020,50,3,288,clear
288.75,288.75,288.75,1019,46,3,237,clear
290.25,290.25,290.25,1018,43,6,284,clear
291.05,291.05,291.05,1017,38,12,262,clear
291.05,291.05,291.05,1016,36,6,316,clear
291.55,291.55,291.55,1015,37,20,252,clear
291.95,291.95,291.95,1014,38,3,269,clear
290.75,290.75,290.75,1014,41,9,314,clear
289.282,289.282,289.282,1014,46,7,283,clear
288.854,288.854,288.854,1013,48,7,288,clouds
